Gene name,baseMean,log2FoldChange,lfcSE (standard error),Wald stat,P value,Adj. P value
Hspe1,541.6021872,1.324959402,0.462908122,2.862251364,0.004206432,0.040028696
Marf1,338.5755204,-1.37009514,0.478627769,-2.862548367,0.004202491,0.040028696
Plcb1,883.4139471,-1.065677288,0.372284549,-2.862534294,0.004202678,0.040028696
Sema6b,56.19361638,-2.54415261,0.888698826,-2.862783808,0.00419937,0.040028696
Sorl1,580.5334855,-1.394750483,0.487495089,-2.861055452,0.004222332,0.040143143
Dlg3,496.7732072,-1.259770885,0.44044189,-2.860243121,0.004233163,0.040209233
Rsrc1,294.1406838,-1.785612749,0.624373931,-2.859845136,0.004238479,0.040222858
Gabrb3,1036.907938,-1.211054971,0.42358337,-2.859071099,0.004248835,0.040284247
Gna13,89.97844604,-2.221897739,0.777335766,-2.858350068,0.004258503,0.040339001
Nfia,1169.54749,-1.078790044,0.377478586,-2.85788409,0.004264761,0.040361391
Dscam,376.9421614,-1.971333114,0.689956973,-2.857182683,0.004274198,0.040413786
Rad17,127.427821,2.447321022,0.856689864,2.856717612,0.004280465,0.04043615
Ptpro,437.6312381,1.015629729,0.355731648,2.855044621,0.004303078,0.040575796
Vps37a,529.9983025,1.265136975,0.443115427,2.855095754,0.004302386,0.040575796
Lypd1,103.7313897,-2.058269013,0.721237581,-2.85380167,0.004319949,0.040641764
Prkdc,362.8633209,-2.337214187,0.818924606,-2.854004106,0.004317197,0.040641764
Cyp51,207.9624712,1.990388307,0.697485493,2.853662661,0.00432184,0.040641764
Ctsf,204.4694891,-2.177228649,0.763223239,-2.852676043,0.004335279,0.040671111
Nagpa,96.90895171,2.810470449,0.985241747,2.852569391,0.004336734,0.040671111
Zbtb14,99.890821,-2.544978619,0.892101858,-2.852789283,0.004333735,0.040671111
Tmem150c,193.9367192,-2.147605461,0.752951118,-2.852250844,0.004341083,0.040675083
Dzip3,786.3965773,1.241658143,0.435497602,2.851125096,0.004356483,0.040745695
R3hdm4,1441.787604,-0.740622173,0.259760712,-2.851170858,0.004355856,0.040745695
Rab14,1712.984209,0.998602083,0.350293577,2.850757615,0.00436152,0.040756028
AI314180,673.5856932,1.375209232,0.482608297,2.849535,0.004378319,0.040802624
Calm3,2816.177334,-0.86251425,0.302639027,-2.849976943,0.00437224,0.040802624
Dnase2a,62.73642593,1.68037858,0.589701754,2.849539737,0.004378254,0.040802624
Abhd12,897.818111,-1.261073036,0.442792424,-2.848000476,0.004399486,0.040929353
Elovl5,82.27556069,-2.058209263,0.722691785,-2.847976557,0.004399817,0.040929353
Map2k7,243.6162436,-1.533606122,0.538663008,-2.847060406,0.004412499,0.041010516
Cltb,1648.455777,1.330884718,0.467938505,2.844144485,0.004453085,0.041286599
Crlf1,141.5639634,-2.23132255,0.784401854,-2.844616621,0.004446491,0.041286599
Ufd1l,939.5320747,1.481816682,0.521020154,2.844067873,0.004454156,0.041286599
Pofut1,69.55919728,-2.618655272,0.920961845,-2.843391706,0.004463618,0.041337327
Kcnq2,591.6069303,-1.373546814,0.483786051,-2.839161675,0.004523223,0.041851931
Acadvl,396.3378099,2.384346281,0.840128589,2.838073021,0.00453868,0.041948811
Slc24a2,987.0543824,-0.826189298,0.291131673,-2.83785439,0.00454179,0.041948811
Ocln,81.34402157,-2.211389934,0.779454736,-2.837098593,0.004552555,0.042010801
Nrsn2,52.97288027,-2.626725745,0.926880738,-2.833941453,0.004597775,0.042364715
Psme4,376.3714895,1.702769484,0.600867781,2.833850538,0.004599084,0.042364715
Zfp846,81.51055799,-2.53934307,0.896301806,-2.833133942,0.004609407,0.042422098
Plekhb1,376.2502635,-1.934940474,0.683178694,-2.832261149,0.004622008,0.042490248
Saal1,107.8509509,-2.687880519,0.949092448,-2.832053427,0.004625012,0.042490248
Prss23,53.40184891,2.929182445,1.035266331,2.829399893,0.004663539,0.042806246
Rbfox1,2315.155779,-0.862980657,0.305138807,-2.828157671,0.004681674,0.042934681
Iqcb1,213.3343989,1.90432021,0.673733655,2.826517862,0.004705712,0.04311697
Nicn1,410.6042579,-1.439221386,0.509378881,-2.825443771,0.004721517,0.043147341
Rbbp7,1586.1535,1.250649359,0.442609883,2.825624563,0.004718854,0.043147341
Scg3,311.932351,-1.44796589,0.512461486,-2.825511636,0.004720517,0.043147341
Bdp1,555.890314,1.475982221,0.52261429,2.82422859,0.004739457,0.043259273
Fam173a,346.7137147,-1.86761005,0.661323548,-2.824048918,0.004742115,0.043259273
Npas2,38.54029362,2.825309348,1.000798243,2.823055863,0.004756828,0.043355331
Sod1,2102.272935,0.873082208,0.30945037,2.821396553,0.004781506,0.043541953
Nedd4l,1413.428978,-0.919587743,0.326085789,-2.820079181,0.00480118,0.04368273
Chst12,65.54075791,-2.485965377,0.88181491,-2.819146453,0.004815154,0.043771442
Cct2,765.6255256,1.298823904,0.460833495,2.818423394,0.004826013,0.043793795
Psma3,1757.575901,1.031680529,0.366049265,2.81841989,0.004826065,0.043793795
Abcg1,361.7726223,-1.936619292,0.688255319,-2.813809407,0.004895825,0.044254917
Olfm2,29.30659596,-2.672270746,0.949530469,-2.814307526,0.004888244,0.044254917
Park2,73.35489681,-2.679356211,0.952125643,-2.814078405,0.00489173,0.044254917
Phf21a,225.5164184,-1.389831536,0.493960123,-2.81365129,0.004898233,0.044254917
Sort1,911.6608095,-1.602391017,0.569415168,-2.814099637,0.004891406,0.044254917
Dixdc1,322.9868637,-1.760623855,0.625845276,-2.813193489,0.004905213,0.044279371
Rab3d,156.6077936,-2.000346821,0.711183763,-2.812700352,0.004912741,0.044308732
Scrn3,89.19948363,-2.302660125,0.819041873,-2.811407085,0.004932533,0.04444856
Trmt2a,342.6342865,-1.931613789,0.68725169,-2.810635199,0.004944381,0.044516613
Emc10,498.1635231,-1.255236804,0.446897655,-2.808779123,0.004972975,0.044716656
Tax1bp1,930.0893396,1.363383201,0.485425865,2.808633201,0.00497523,0.044716656
Trim46,494.6973648,-1.604502624,0.571414093,-2.807950737,0.004985785,0.044772698
Rab27a,152.2534196,-1.636889729,0.583084435,-2.807294502,0.004995954,0.044825174
Rrp1b,126.5778723,1.829361983,0.652527651,2.803501094,0.005055106,0.045316665
Gal3st3,359.3614224,-1.32450153,0.473554451,-2.796936077,0.005158974,0.046207819
