ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A330048O09Rik,80.80696231,-2.707482701,0.432011446,6.26715501,3.68E-10,1.40E-08
Tubal3,97.33574934,-2.722458785,0.350454703,7.768361396,7.95E-15,6.24E-13
Gpr64,318.98785,-2.723254306,0.382755896,7.114859192,1.12E-12,6.47E-11
Sp110,990.7385439,-2.746984292,0.207083243,13.26512106,3.69E-40,2.95E-37
Wisp1,27.03303462,-2.749836457,0.599090145,4.590021188,4.43E-06,7.69E-05
Ankrd44,204.8451647,-2.759777911,0.259155532,10.64911827,1.76E-26,4.29E-24
Scarna10,462.8590387,-2.771780833,0.293678853,9.438135589,3.79E-21,5.45E-19
Mir654,24.35636965,-2.772509177,0.590334517,4.69650528,2.65E-06,4.86E-05
Qpct,114.3740099,-2.77589647,0.320430062,8.663033825,4.59E-18,5.32E-16
Oxt,88.22660701,-2.782287251,0.394026919,7.061160332,1.65E-12,9.37E-11
Dusp10,406.1780616,-2.786675384,0.269944184,10.32315399,5.54E-25,1.15E-22
Dlk1,382.5459476,-2.792683715,0.24430453,11.43115815,2.92E-30,1.09E-27
Ltbp1,126.3226846,-2.798160692,0.400397543,6.988456208,2.78E-12,1.51E-10
Stc1,95.37349308,-2.804926101,0.394231455,7.114922123,1.12E-12,6.47E-11
Serpina1a,821.4444478,-2.815865554,0.339284918,8.299412701,1.05E-16,1.02E-14
BC094916,18.36429479,-2.82585226,0.701000447,4.031170411,5.55E-05,0.000706036
Ifit1,931.5387405,-2.831859827,0.365910584,7.73921267,1.00E-14,7.75E-13
Itpripl1,426.8747769,-2.836629063,0.268282812,10.57327913,3.96E-26,9.00E-24
Dkk1,205.565645,-2.83751057,0.351799882,8.065695053,7.28E-16,6.47E-14
Gata4,19.6059251,-2.837575519,0.653773261,4.340305253,1.42E-05,0.000215803
Spc24,376.4130871,-2.839562648,0.294070206,9.656070522,4.63E-22,7.21E-20
Ifi203,4427.390754,-2.848344267,0.230790894,12.3416666,5.40E-35,2.67E-32
Olfr629,60.90076028,-2.855149976,0.45873823,6.223919848,4.85E-10,1.81E-08
Igf1,517.532352,-2.873696047,0.267096674,10.75901098,5.37E-27,1.46E-24
1700051A21Rik,40.15696894,-2.883719035,0.464091739,6.213683189,5.18E-10,1.92E-08
Gapt,24.91599232,-2.884159487,0.814745895,3.539949701,0.000400203,0.003797525
Trem1,55.0465025,-2.893306729,0.394883163,7.326994407,2.35E-13,1.49E-11
