,geo_accession,sampleID,age,Arc,Ctip2,Fos,Prox1,gender,exposure,cell.type,strain
X160107_20,GSM2609580,X160107_20,9,No,No,No,Yes,Female,1hr,Ivy,C57BL6
X160107_21,GSM2609581,X160107_21,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_22,GSM2609582,X160107_22,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_23,GSM2609583,X160107_23,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_24,GSM2609584,X160107_24,9,No,No,No,Yes,Female,1hr,Ivy,C57BL6
X160107_25,GSM2609585,X160107_25,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_26,GSM2609586,X160107_26,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_27,GSM2609587,X160107_27,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_28,GSM2609588,X160107_28,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_29,GSM2609589,X160107_29,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_30,GSM2609590,X160107_30,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_31,GSM2609591,X160107_31,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_32,GSM2609592,X160107_32,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_33,GSM2609593,X160107_33,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_34,GSM2609594,X160107_34,9,No,No,No,Yes,Female,1hr,Ivy,C57BL6
X160107_35,GSM2609595,X160107_35,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_36,GSM2609596,X160107_36,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_37,GSM2609597,X160107_37,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_38,GSM2609598,X160107_38,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_39,GSM2609599,X160107_39,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_40,GSM2609600,X160107_40,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_41,GSM2609601,X160107_41,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_42,GSM2609602,X160107_42,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_43,GSM2609603,X160107_43,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_44,GSM2609604,X160107_44,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_45,GSM2609605,X160107_45,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_46,GSM2609606,X160107_46,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160107_47,GSM2609607,X160107_47,9,No,No,Yes,Yes,Female,1hr,Ivy,C57BL6
X160107_48,GSM2609608,X160107_48,9,No,No,Yes,Yes,Female,1hr,VIP,C57BL6
X160118_01,GSM2609609,X160118_01,8.875,No,No,No,Yes,Female,HC,Th,C57BL6
X160118_02,GSM2609610,X160118_02,8.875,No,No,No,Yes,Female,HC,Th,C57BL6
X160118_03,GSM2609611,X160118_03,8.875,No,No,No,Yes,Female,HC,VIP,C57BL6
X160118_04,GSM2609612,X160118_04,8.875,No,No,No,Yes,Female,HC,Th,C57BL6
X160118_05,GSM2609613,X160118_05,8.875,No,No,No,Yes,Female,HC,VIP,C57BL6
X160118_06,GSM2609614,X160118_06,8.875,No,No,No,Yes,Female,HC,VIP,C57BL6
X160118_07,GSM2609615,X160118_07,8.875,No,No,No,Yes,Female,HC,VIP,C57BL6
X160118_08,GSM2609616,X160118_08,8.875,No,No,No,Yes,Female,HC,Th,C57BL6
X160118_09,GSM2609617,X160118_09,8.875,No,No,No,Yes,Female,HC,VIP,C57BL6
X160118_10,GSM2609618,X160118_10,8.875,No,No,No,Yes,Female,HC,Th,C57BL6
X160118_11,GSM2609619,X160118_11,8.875,No,No,No,Yes,Female,HC,VIP,C57BL6
X160118_12,GSM2609620,X160118_12,8.875,No,No,No,Yes,Female,HC,VIP,C57BL6
X160118_13,GSM2609621,X160118_13,8.875,No,No,No,Yes,Female,HC,DG,C57BL6
